"AX","M","El","Z","E","J","Thalf","DThalf","Thalf_Seconds","Lambda_perSecond"
"187PB",187,"PB",82,0,"3/2-","15.2 S",3,15.2,0.0657894736842105
"187PB",187,"PB",82,33,"13/2+","18.3 S",3,18.3,0.0546448087431694
"187PB",187,"PB",82,0,"13/2+","18.3 S",3,18.3,0.0546448087431694
"187PB",187,"PB",82,2,"3/2-","15.2 S",3,15.2,0.0657894736842105
"187BI",187,"BI",83,0,"9/2-","37 MS",2,0.037,27.027027027027
"187BI",187,"BI",83,0,"9/2-","32 MS",3,0.032,31.25
"188TA",188,"TA",73,0,"1-","19.6 S",20,19.6,0.0510204081632653
"188TA",188,"TA",73,99,"7-","19.6 S",20,19.6,0.0510204081632653
"188W",188,"W",74,0,"0+","69.78 D",12,6028992,1.65865205991317e-07
"188RE",188,"RE",75,0,"1-","17.005 H",3,61218,1.63350648502075e-05
"188RE",188,"RE",75,172.0848,"6-","18.59 M",4,1115.4,0.00089653935807782
"188RE",188,"RE",75,171.98,"6-","18.59 M",4,1115.4,0.00089653935807782
"188RE",188,"RE",75,172.0758,"6-","18.59 M",4,1115.4,0.00089653935807782
"188IR",188,"IR",77,0,"1-","41.5 H",5,149400,6.69344042838019e-06
"188IR",188,"IR",77,NA,"11-","4.15 MS",15,0.00415,240.963855421687
"188IR",188,"IR",77,NA,"11-","4.15 MS",15,0.00415,240.963855421687
"188IR",188,"IR",77,NA,"9-","4.15 MS",15,0.00415,240.963855421687
"188PT",188,"PT",78,0,"0+","10.16 D",18,877824,1.13918051910178e-06
"188AU",188,"AU",79,0,"1-","8.84 M",6,530.4,0.00188536953242836
"188HG",188,"HG",80,0,"0+","3.25 M",15,195,0.00512820512820513
"188TL",188,"TL",81,0,"2-","71 S",2,71,0.0140845070422535
"188TL",188,"TL",81,35,"7+","71.5 S",15,71.5,0.013986013986014
"188TL",188,"TL",81,303.8,"9-","41 MS",4,0.041,24.390243902439
"188TL",188,"TL",81,35,"7+","71.5 S",14,71.5,0.013986013986014
"188PB",188,"PB",82,0,"0+","25.5 S",1,25.5,0.0392156862745098
"188BI",188,"BI",83,0,"3+","60 MS",3,0.06,16.6666666666667
"188BI",188,"BI",83,NA,"10-","265 MS",15,0.265,3.77358490566038
"188BI",188,"BI",83,NA,"10-","265 MS",10,0.265,3.77358490566038
"189RE",189,"RE",75,0,"5/2+","24.3 H",4,87480,1.14311842706904e-05
"189OS",189,"OS",76,30.82,"9/2-","5.81 H",10,20916,4.78102887741442e-05
"189OS",189,"OS",76,30.81,"9/2-","5.81 H",10,20916,4.78102887741442e-05
"189OS",189,"OS",76,30.82,"9/2-","5.81 H",10,20916,4.78102887741442e-05
"189OS",189,"OS",76,30.79,"9/2-","5.81 H",10,20916,4.78102887741442e-05
"189OS",189,"OS",76,30.82,"9/2-","5.65 H",15,20340,4.91642084562439e-05
"189IR",189,"IR",77,0,"3/2+","13.2 D",1,1140480,8.7682379349046e-07
"189IR",189,"IR",77,372.17,"11/2-","13.3 MS",3,0.0133,75.187969924812
"189IR",189,"IR",77,2332.8,"25/2+","3.7 MS",2,0.0037,270.27027027027
"189IR",189,"IR",77,372.1,"11/2-","13.3 MS",3,0.0133,75.187969924812
"189IR",189,"IR",77,372.12,"11/2-","13.3 MS",3,0.0133,75.187969924812
"189IR",189,"IR",77,2332.8,"25/2+","3.7 MS",2,0.0037,270.27027027027
"189PT",189,"PT",78,0,"3/2-","10.87 H",12,39132,2.55545333742206e-05
"189AU",189,"AU",79,0,"1/2+","28.7 M",4,1722,0.000580720092915215
"189AU",189,"AU",79,247.25,"11/2-","4.59 M",11,275.4,0.00363108206245461
"189HG",189,"HG",80,0,"3/2-","7.6 M",2,456,0.00219298245614035
"189HG",189,"HG",80,NA,"13/2+","8.6 M",2,516,0.00193798449612403
"189TL",189,"TL",81,0,"1/2+","2.3 M",2,138,0.0072463768115942
"189TL",189,"TL",81,281,"9/2-","1.4 M",1,84,0.0119047619047619
"189TL",189,"TL",81,257.4,"9/2-","1.4 M",1,84,0.0119047619047619
"189TL",189,"TL",81,281,"9/2-","1.4 M",1,84,0.0119047619047619
"189PB",189,"PB",82,0,"3/2-","39 S",8,39,0.0256410256410256
"189PB",189,"PB",82,40,"13/2+","50 S",3,50,0.02
"189PB",189,"PB",82,40,"13/2+","50 S",3,50,0.02
"189BI",189,"BI",83,0,"9/2-","688 MS",5,0.688,1.45348837209302
"189BI",189,"BI",83,184,"1/2+","5.0 MS",1,0.005,200
"189BI",189,"BI",83,0,"9/2-","658 MS",22,0.658,1.51975683890577
"189PO",189,"PO",84,0,"5/2-","3.5 MS",5,0.0035,285.714285714286
"190TA",190,"TA",73,0,"3","5.3 S",7,5.3,0.188679245283019
"190W",190,"W",74,0,"0+","30.0 M",15,1800,0.000555555555555556
"190RE",190,"RE",75,0,"2-","3.0 M",2,180,0.00555555555555556
"190RE",190,"RE",75,204,"6-","3.1 H",2,11160,8.96057347670251e-05
"190OS",190,"OS",76,1705.7,"10-","9.86 M",3,591.6,0.00169033130493577
"190OS",190,"OS",76,1705.8,"10-","9.86 M",3,591.6,0.00169033130493577
"190OS",190,"OS",76,1705.7,"10-","9.86 M",3,591.6,0.00169033130493577
"190IR",190,"IR",77,0,"4-","11.78 D",10,1017792,9.82519021568258e-07
"190IR",190,"IR",77,26.1,"1-","1.120 H",3,4032,0.000248015873015873
"190IR",190,"IR",77,376.4,"11-","3.087 H",12,11113.2,8.99830831803621e-05
"190IR",190,"IR",77,376.4,"11-","3.087 H",12,11113.2,8.99830831803621e-05
"190PT",190,"PT",78,0,"0+","4.97E11 Y",16,1.56841272e+19,6.37587279960341e-20
"190AU",190,"AU",79,0,"1-","42.8 M",10,2568,0.000389408099688474
"190AU",190,"AU",79,NA,"11-","125 MS",20,0.125,8
"190AU",190,"AU",79,NA,"11-","125 MS",20,0.125,8
"190HG",190,"HG",80,0,"0+","20.0 M",5,1200,0.000833333333333333
"190TL",190,"TL",81,0,"2-","2.6 M",3,156,0.00641025641025641
"190TL",190,"TL",81,83,"7+","3.6 M",3,216,0.00462962962962963
"190PB",190,"PB",82,0,"0+","71 S",1,71,0.0140845070422535
"190BI",190,"BI",83,0,"3+","6.3 S",1,6.3,0.158730158730159
"190BI",190,"BI",83,191,"10-","6.2 S",1,6.2,0.161290322580645
"190PO",190,"PO",84,0,"0+","2.45 MS",5,0.00245,408.163265306122
"191OS",191,"OS",76,0,"9/2-","15.4 D",1,1330560,7.51563251563252e-07
"191OS",191,"OS",76,74.382,"3/2-","13.10 H",5,47160,2.12044105173876e-05
"191OS",191,"OS",76,74.38,"3/2-","13.10 H",5,47160,2.12044105173876e-05
"191IR",191,"IR",77,171.29,"11/2-","4.899 S",23,4.899,0.204123290467442
"191IR",191,"IR",77,171.278,"11/2-","4.899 S",23,4.899,0.204123290467442
"191IR",191,"IR",77,171.32,"11/2-","4.899 S",23,4.899,0.204123290467442
"191IR",191,"IR",77,171.2,"11/2-","4.899 S",23,4.899,0.204123290467442
"191IR",191,"IR",77,171.2,"11/2-","5.05 S",5,5.05,0.198019801980198
"191PT",191,"PT",78,0,"3/2-","2.83 D",2,244512,4.08977882476116e-06
"191AU",191,"AU",79,0,"3/2+","3.18 H",8,11448,8.73515024458421e-05
"191AU",191,"AU",79,266.2,"11/2-","0.92 S",11,0.92,1.08695652173913
"191AU",191,"AU",79,267,"11/2-","0.92 S",11,0.92,1.08695652173913
"191AU",191,"AU",79,266.1,"11/2-","0.92 S",11,0.92,1.08695652173913
"191HG",191,"HG",80,0,"3/2-","49 M",10,2940,0.000340136054421769
"191HG",191,"HG",80,NA,"13/2+","50.8 M",15,3048,0.000328083989501312
"191TL",191,"TL",81,NA,"9/2-","5.22 M",16,313.2,0.00319284802043423
"191TL",191,"TL",81,299,"9/2-","5.22 M",16,313.2,0.00319284802043423
"191TL",191,"TL",81,NA,"9/2-","5.22 M",16,313.2,0.00319284802043423
"191PB",191,"PB",82,0,"3/2-","1.33 M",8,79.8,0.012531328320802
"191PB",191,"PB",82,NA,"13/2+","2.18 M",8,130.8,0.00764525993883792
"191BI",191,"BI",83,0,"9/2-","12.4 S",3,12.4,0.0806451612903226
"191BI",191,"BI",83,240,"1/2+","125 MS",8,0.125,8
"191BI",191,"BI",83,241,"1/2+","125 MS",13,0.125,8
"191BI",191,"BI",83,241,"1/2+","125 MS",8,0.125,8
"191PO",191,"PO",84,0,"3/2-","22 MS",1,0.022,45.4545454545455
"191PO",191,"PO",84,40,"13/2+","93 MS",3,0.093,10.752688172043
"191AT",191,"AT",85,0,"1/2+","1.7 MS",NA,0.0017,588.235294117647
"191AT",191,"AT",85,55,"7/2-","2.1 MS",NA,0.0021,476.190476190476
"192OS",192,"OS",76,2015.4,"10-","5.9 S",1,5.9,0.169491525423729
"192OS",192,"OS",76,2015.39,"10-","5.9 S",1,5.9,0.169491525423729
"192IR",192,"IR",77,0,"4+","73.829 D",11,6378825.6,1.56768669141856e-07
"192IR",192,"IR",77,56.72,"1-","1.45 M",5,87,0.0114942528735632
"192IR",192,"IR",77,168.14,"11-","241 Y",9,7605381600,1.31485841551987e-10
"192IR",192,"IR",77,56.71,"1-","1.45 M",5,87,0.0114942528735632
"192AU",192,"AU",79,0,"1-","4.94 H",9,17784,5.62303193882141e-05
"192AU",192,"AU",79,135.41,"5+","29 MS",NA,0.029,34.4827586206897
"192AU",192,"AU",79,431.6,"11-","160 MS",20,0.16,6.25
"192AU",192,"AU",79,135.5,"5+","29 MS",NA,0.029,34.4827586206897
"192AU",192,"AU",79,431.7,"11-","160 MS",20,0.16,6.25
"192AU",192,"AU",79,135.4,"5+","29 MS",NA,0.029,34.4827586206897
"192AU",192,"AU",79,431.7,"11-","160 MS",20,0.16,6.25
"192HG",192,"HG",80,0,"0+","4.85 H",20,17460,5.72737686139748e-05
"192TL",192,"TL",81,0,"2-","9.6 M",4,576,0.00173611111111111
"192TL",192,"TL",81,138,"7+","10.8 M",2,648,0.00154320987654321
"192TL",192,"TL",81,138,"7+","10.8 M",2,648,0.00154320987654321
"192PB",192,"PB",82,0,"0+","3.5 M",1,210,0.00476190476190476
"192BI",192,"BI",83,0,"3+","34.6 S",9,34.6,0.0289017341040462
"192BI",192,"BI",83,147,"10-","39.6 S",4,39.6,0.0252525252525253
"192PO",192,"PO",84,0,"0+","32.2 MS",3,0.0322,31.055900621118
"192PO",192,"PO",84,0,"0+","31.8 MS",15,0.0318,31.4465408805031
"193OS",193,"OS",76,0,"3/2-","29.830 H",18,107388,9.31202741460871e-06
"193IR",193,"IR",77,80.238,"11/2-","10.53 D",4,909792,1.09915233372023e-06
"193IR",193,"IR",77,80.234,"11/2-","10.53 D",4,909792,1.09915233372023e-06
"193IR",193,"IR",77,80.242,"11/2-","10.53 D",4,909792,1.09915233372023e-06
"193IR",193,"IR",77,80.2,"11/2-","10.53 D",4,909792,1.09915233372023e-06
"193PT",193,"PT",78,0,"1/2-","50 Y",6,1577880000,6.33761756280579e-10
"193PT",193,"PT",78,149.78,"13/2+","4.33 D",3,374112,2.67299632195706e-06
"193PT",193,"PT",78,149.78,"13/2+","4.33 D",3,374112,2.67299632195706e-06
"193PT",193,"PT",78,149.8,"13/2+","4.33 D",3,374112,2.67299632195706e-06
"193PT",193,"PT",78,150,"13/2+","4.33 D",3,374112,2.67299632195706e-06
"193AU",193,"AU",79,0,"3/2+","17.65 H",15,63540,1.57381177211206e-05
"193AU",193,"AU",79,290.2,"11/2-","3.9 S",3,3.9,0.256410256410256
"193AU",193,"AU",79,290.2,"11/2-","3.9 S",3,3.9,0.256410256410256
"193AU",193,"AU",79,290.19,"11/2-","3.9 S",3,3.9,0.256410256410256
"193AU",193,"AU",79,290.2,"11/2-","3.9 S",3,3.9,0.256410256410256
"193HG",193,"HG",80,0,"3/2-","3.80 H",15,13680,7.30994152046784e-05
"193HG",193,"HG",80,140.76,"13/2+","11.8 H",2,42480,2.35404896421846e-05
"193TL",193,"TL",81,0,"1/2+","21.6 M",8,1296,0.000771604938271605
"193TL",193,"TL",81,NA,"9/2-","2.11 M",15,126.6,0.00789889415481833
"193PB",193,"PB",82,NA,"13/2+","5.8 M",2,348,0.0028735632183908
"193BI",193,"BI",83,0,"9/2-","63.6 S",30,63.6,0.0157232704402516
"193BI",193,"BI",83,305,"1/2+","3.20 S",14,3.2,0.3125
"193BI",193,"BI",83,308,"1/2+","3.12 S",26,3.12,0.32051282051282
"193BI",193,"BI",83,0,"9/2-","63.6 S",30,63.6,0.0157232704402516
"193BI",193,"BI",83,305,"1/2+","3.07 S",13,3.07,0.325732899022801
"193PO",193,"PO",84,0,"3/2-","399 MS",34,0.399,2.5062656641604
"193PO",193,"PO",84,100,"13/2+","245 MS",11,0.245,4.08163265306122
"193PO",193,"PO",84,0,"3/2-","388 MS",40,0.388,2.57731958762887
"193AT",193,"AT",85,0,"1/2+","28 MS",NA,0.028,35.7142857142857
"193AT",193,"AT",85,5,"7/2-","21 MS",5,0.021,47.6190476190476
"193AT",193,"AT",85,39,"13/2+","27 MS",NA,0.027,37.037037037037
"194RE",194,"RE",75,285,"11-","25 S",8,25,0.04
"194OS",194,"OS",76,0,"0+","6.0 Y",2,189345600,5.28134796900482e-09
"194IR",194,"IR",77,0,"1-","19.18 H",3,69048,1.44826787162554e-05
"194IR",194,"IR",77,147.073,"4+","31.85 MS",24,0.03185,31.3971742543171
"194AU",194,"AU",79,0,"1-","38.02 H",10,136872,7.30609620667485e-06
"194AU",194,"AU",79,107.4,"5+","600 MS",8,0.6,1.66666666666667
"194AU",194,"AU",79,475.7,"11-","420 MS",10,0.42,2.38095238095238
"194AU",194,"AU",79,107.4,"5+","600 MS",8,0.6,1.66666666666667
"194AU",194,"AU",79,475.7,"11-","420 MS",10,0.42,2.38095238095238
"194AU",194,"AU",79,107.9,"5+","600 MS",50,0.6,1.66666666666667
"194AU",194,"AU",79,476.1,"11-","420 MS",20,0.42,2.38095238095238
"194AU",194,"AU",79,475.8,"11-","420 MS",10,0.42,2.38095238095238
"194HG",194,"HG",80,0,"0+","447 Y",52,14106247200,7.08905767651654e-11
"194TL",194,"TL",81,0,"2-","33.0 M",5,1980,0.000505050505050505
"194TL",194,"TL",81,260,"7+","32.8 M",2,1968,0.000508130081300813
"194PB",194,"PB",82,0,"0+","10.7 M",6,642,0.00155763239875389
"194BI",194,"BI",83,0,"3+","95 S",3,95,0.0105263157894737
"194BI",194,"BI",83,161,"10-","115 S",4,115,0.00869565217391304
"194PO",194,"PO",84,0,"0+","0.392 S",4,0.392,2.55102040816327
"195RE",195,"RE",75,0,"3/2-","6 S",1,6,0.166666666666667
"195OS",195,"OS",76,0,"3/2-","6.5 M",11,390,0.00256410256410256
"195IR",195,"IR",77,0,"3/2+","2.29 H",17,8244,0.000121300339640951
"195IR",195,"IR",77,100,"11/2-","3.67 H",8,13212,7.56887677868604e-05
"195PT",195,"PT",78,259.077,"13/2+","4.010 D",5,346464,2.88630276161448e-06
"195PT",195,"PT",78,259.29,"13/2+","4.010 D",5,346464,2.88630276161448e-06
"195PT",195,"PT",78,259.28,"13/2+","4.010 D",5,346464,2.88630276161448e-06
"195PT",195,"PT",78,259.3,"13/2+","4.010 D",5,346464,2.88630276161448e-06
"195AU",195,"AU",79,0,"3/2+","186.01 D",6,16071264,6.22228593843023e-08
"195AU",195,"AU",79,318.58,"11/2-","30.5 S",2,30.5,0.0327868852459016
"195AU",195,"AU",79,318.59,"11/2-","30.5 S",2,30.5,0.0327868852459016
"195AU",195,"AU",79,318.49,"11/2-","30.5 S",2,30.5,0.0327868852459016
"195AU",195,"AU",79,0,"3/2+","186.098 D",47,16078867.2,6.21934361147034e-08
"195AU",195,"AU",79,318.5,"11/2-","30.5 S",2,30.5,0.0327868852459016
"195HG",195,"HG",80,0,"1/2-","10.53 H",3,37908,2.63796560092856e-05
"195HG",195,"HG",80,176.07,"13/2+","41.6 H",8,149760,6.67735042735043e-06
"195HG",195,"HG",80,176.07,"13/2+","41.6 H",8,149760,6.67735042735043e-06
"195HG",195,"HG",80,176.1,"13/2+","41.6 H",8,149760,6.67735042735043e-06
"195TL",195,"TL",81,0,"1/2+","1.16 H",5,4176,0.000239463601532567
"195TL",195,"TL",81,482.63,"9/2-","3.6 S",4,3.6,0.277777777777778
"195TL",195,"TL",81,482.61,"9/2-","3.6 S",4,3.6,0.277777777777778
"195TL",195,"TL",81,482.7,"9/2-","3.6 S",4,3.6,0.277777777777778
"195TL",195,"TL",81,482.6,"9/2-","3.6 S",4,3.6,0.277777777777778
"195PB",195,"PB",82,0,"3/2-","15 M",NA,900,0.00111111111111111
"195PB",195,"PB",82,202.9,"13/2+","15.0 M",12,900,0.00111111111111111
"195PB",195,"PB",82,203,"13/2+","15.0 M",12,900,0.00111111111111111
"195PB",195,"PB",82,0,"3/2-","15 M",NA,900,0.00111111111111111
"195PB",195,"PB",82,201,"13/2+","15.0 M",12,900,0.00111111111111111
"195PB",195,"PB",82,203,"13/2+","15.0 M",12,900,0.00111111111111111
"195BI",195,"BI",83,0,"9/2-","183 S",4,183,0.00546448087431694
"195BI",195,"BI",83,401,"1/2+","87 S",1,87,0.0114942528735632
"195BI",195,"BI",83,401,"1/2+","87 S",1,87,0.0114942528735632
"195PO",195,"PO",84,0,"3/2-","4.64 S",9,4.64,0.21551724137931
"195PO",195,"PO",84,230,"13/2+","1.92 S",2,1.92,0.520833333333333
"195PO",195,"PO",84,0,"3/2-","4.64 S",9,4.64,0.21551724137931
"195PO",195,"PO",84,230,"13/2+","1.92 S",2,1.92,0.520833333333333
"195AT",195,"AT",85,0,"1/2+","290 MS",20,0.29,3.44827586206897
"195AT",195,"AT",85,33,"7/2-","143 MS",3,0.143,6.99300699300699
"195AT",195,"AT",85,32,"7/2-","143 MS",3,0.143,6.99300699300699
"195RN",195,"RN",86,0,"3/2-","6 MS",NA,0.006,166.666666666667
"195RN",195,"RN",86,59,"13/2+","5 MS",NA,0.005,200
"196OS",196,"OS",76,0,"0+","34.9 M",2,2094,0.000477554918815664
"196IR",196,"IR",77,0,"0-","52 S",1,52,0.0192307692307692
"196AU",196,"AU",79,0,"2-","6.1669 D",6,532820.16,1.87680586260099e-06
"196AU",196,"AU",79,84.656,"5+","8.1 S",2,8.1,0.123456790123457
"196AU",196,"AU",79,595.66,"12-","9.6 H",1,34560,2.89351851851852e-05
"196AU",196,"AU",79,84.66,"5+","8.1 S",2,8.1,0.123456790123457
"196AU",196,"AU",79,84.63,"5+","8.1 S",2,8.1,0.123456790123457
"196TL",196,"TL",81,0,"2-","1.84 H",3,6624,0.000150966183574879
"196TL",196,"TL",81,394.2,"7+","1.41 H",2,5076,0.000197005516154452
"196TL",196,"TL",81,394.6,"7+","1.41 H",2,5076,0.000197005516154452
"196TL",196,"TL",81,394.7,"7+","1.41 H",2,5076,0.000197005516154452
"196PB",196,"PB",82,0,"0+","37 M",3,2220,0.00045045045045045
"196BI",196,"BI",83,0,"3+","308 S",12,308,0.00324675324675325
"196BI",196,"BI",83,169,"7+","0.6 S",5,0.6,1.66666666666667
"196BI",196,"BI",83,271,"10-","240 S",3,240,0.00416666666666667
"196BI",196,"BI",83,167,"7+","0.6 S",5,0.6,1.66666666666667
"196BI",196,"BI",83,269,"10-","240 S",3,240,0.00416666666666667
"196PO",196,"PO",84,0,"0+","5.8 S",2,5.8,0.172413793103448
"196PO",196,"PO",84,0,"0+","5.5 S",5,5.5,0.181818181818182
"196AT",196,"AT",85,0,"3+","0.388 S",7,0.388,2.57731958762887
"196RN",196,"RN",86,0,"0+","4.4 MS",NA,0.0044,227.272727272727
"197IR",197,"IR",77,0,"3/2+","5.8 M",5,348,0.0028735632183908
"197IR",197,"IR",77,115,"11/2-","8.9 M",3,534,0.00187265917602996
"197PT",197,"PT",78,0,"1/2-","19.8915 H",19,71609.4,1.39646470994032e-05
"197PT",197,"PT",78,399.59,"13/2+","95.41 M",18,5724.6,0.000174684694127101
"197AU",197,"AU",79,409.15,"11/2-","7.73 S",6,7.73,0.129366106080207
"197AU",197,"AU",79,409,"11/2-","7.73 S",6,7.73,0.129366106080207
"197AU",197,"AU",79,409.17,"11/2-","7.73 S",6,7.73,0.129366106080207
"197HG",197,"HG",80,0,"1/2-","64.14 H",5,230904,4.3308041437134e-06
"197HG",197,"HG",80,298.93,"13/2+","23.8 H",1,85680,1.1671335200747e-05
"197HG",197,"HG",80,298.91,"13/2+","23.8 H",1,85680,1.1671335200747e-05
"197TL",197,"TL",81,0,"1/2+","2.84 H",4,10224,9.78090766823161e-05
"197TL",197,"TL",81,608.22,"9/2-","0.54 S",1,0.54,1.85185185185185
"197TL",197,"TL",81,608.2,"9/2-","0.54 S",1,0.54,1.85185185185185
"197TL",197,"TL",81,608.6,"9/2-","0.54 S",1,0.54,1.85185185185185
"197TL",197,"TL",81,608.6,"9/2-","0.54 S",1,0.54,1.85185185185185
"197TL",197,"TL",81,608.1,"9/2-","0.54 S",1,0.54,1.85185185185185
"197PB",197,"PB",82,0,"3/2-","8.1 M",17,486,0.00205761316872428
"197PB",197,"PB",82,319.31,"13/2+","42.9 M",9,2574,0.000388500388500389
"197PB",197,"PB",82,319.3,"13/2+","42.9 M",9,2574,0.000388500388500389
"197PB",197,"PB",82,319.3,"13/2+","42.9 M",9,2574,0.000388500388500389
"197BI",197,"BI",83,0,"9/2-","9.33 M",50,559.8,0.00178635226866738
"197BI",197,"BI",83,500,"1/2+","5.04 M",16,302.4,0.00330687830687831
"197PO",197,"PO",84,0,"3/2-","84 S",16,84,0.0119047619047619
"197PO",197,"PO",84,204,"13/2+","32 S",2,32,0.03125
"197AT",197,"AT",85,0,"9/2-","0.388 S",6,0.388,2.57731958762887
"197AT",197,"AT",85,52,"1/2+","2.0 S",2,2,0.5
"197RN",197,"RN",86,0,"3/2-","65 MS",NA,0.065,15.3846153846154
"197RN",197,"RN",86,NA,"13/2+","19 MS",NA,0.019,52.6315789473684
"198AU",198,"AU",79,0,"2-","2.6941 D",2,232770.24,4.29608183589105e-06
"198AU",198,"AU",79,811.9,"12-","2.272 D",16,196300.8,5.09422274387063e-06
"198AU",198,"AU",79,811.7,"12-","2.272 D",16,196300.8,5.09422274387063e-06
"198TL",198,"TL",81,0,"2-","5.3 H",5,19080,5.24109014675052e-05
"198TL",198,"TL",81,543.6,"7+","1.87 H",3,6732,0.000148544266191325
"198TL",198,"TL",81,742.4,"10-","32.1 MS",10,0.0321,31.1526479750779
"198TL",198,"TL",81,543.7,"7+","1.87 H",3,6732,0.000148544266191325
"198PB",198,"PB",82,0,"0+","2.4 H",1,8640,0.000115740740740741
"198PB",198,"PB",82,0,"0+","2.40 H",10,8640,0.000115740740740741
"198BI",198,"BI",83,NA,"7+","11.6 M",3,696,0.0014367816091954
"198BI",198,"BI",83,NA,"10-","7.7 S",5,7.7,0.12987012987013
"198BI",198,"BI",83,NA,"10-","7.7 S",5,7.7,0.12987012987013
"198PO",198,"PO",84,0,"0+","1.760 M",24,105.6,0.00946969696969697
"198PO",198,"PO",84,0,"0+","1.76 M",2,105.6,0.00946969696969697
"198AT",198,"AT",85,0,"3+","4.2 S",2,4.2,0.238095238095238
"198AT",198,"AT",85,NA,"10-","1.21 S",6,1.21,0.826446280991736
"198AT",198,"AT",85,0,"3+","4.2 S",20,4.2,0.238095238095238
"198RN",198,"RN",86,0,"0+","65 MS",3,0.065,15.3846153846154
"198RN",198,"RN",86,0,"0+","3.8 MS",NA,0.0038,263.157894736842
"199PT",199,"PT",78,0,"5/2-","30.80 M",21,1848,0.000541125541125541
"199PT",199,"PT",78,424,"13/2+","13.6 S",4,13.6,0.0735294117647059
"199AU",199,"AU",79,0,"3/2+","3.139 D",7,271209.6,3.68718511439123e-06
"199HG",199,"HG",80,532.48,"13/2+","42.67 M",9,2560.2,0.000390594484805875
"199HG",199,"HG",80,532.5,"13/2+","42.67 M",9,2560.2,0.000390594484805875
"199TL",199,"TL",81,0,"1/2+","7.42 H",8,26712,3.74363581910752e-05
"199TL",199,"TL",81,748.87,"9/2-","28.4 MS",2,0.0284,35.2112676056338
"199TL",199,"TL",81,749.8,"9/2-","28.4 MS",2,0.0284,35.2112676056338
"199TL",199,"TL",81,748.88,"9/2-","28.4 MS",2,0.0284,35.2112676056338
"199TL",199,"TL",81,748.8,"9/2-","28.4 MS",2,0.0284,35.2112676056338
"199PB",199,"PB",82,0,"3/2-","90 M",10,5400,0.000185185185185185
"199PB",199,"PB",82,NA,"13/2+","12.2 M",3,732,0.00136612021857923
"199PB",199,"PB",82,NA,"13/2+","12.2 M",3,732,0.00136612021857923
"199PB",199,"PB",82,NA,"13/2+","12.2 M",3,732,0.00136612021857923
"199PB",199,"PB",82,NA,"13/2+","12.2 M",3,732,0.00136612021857923
"199BI",199,"BI",83,0,"9/2-","27 M",1,1620,0.000617283950617284
"199BI",199,"BI",83,667,"1/2+","24.70 M",15,1482,0.000674763832658569
"199PO",199,"PO",84,0,"3/2-","5.47 M",15,328.2,0.00304692260816575
"199PO",199,"PO",84,310,"13/2+","4.17 M",5,250.2,0.00399680255795364
"199AT",199,"AT",85,0,"9/2-","7.03 S",15,7.03,0.142247510668563
"199RN",199,"RN",86,0,"3/2-","0.59 S",3,0.59,1.69491525423729
"199RN",199,"RN",86,180,"13/2+","0.31 S",2,0.31,3.2258064516129
"200OS",200,"OS",76,0,"0+","6 S",NA,6,0.166666666666667
"200PT",200,"PT",78,0,"0+","12.6 H",3,45360,2.20458553791887e-05
"200AU",200,"AU",79,0,"1-","48.4 M",3,2904,0.00034435261707989
"200AU",200,"AU",79,962,"12-","18.7 H",5,67320,1.48544266191325e-05
"200TL",200,"TL",81,0,"2-","26.1 H",1,93960,1.06428267347808e-05
"200TL",200,"TL",81,753.6,"7+","34.0 MS",9,0.034,29.4117647058824
"200PB",200,"PB",82,0,"0+","21.5 H",4,77400,1.29198966408269e-05
"200BI",200,"BI",83,0,"7+","36.4 M",5,2184,0.000457875457875458
"200BI",200,"BI",83,NA,"2+","31 M",2,1860,0.000537634408602151
"200BI",200,"BI",83,428.2,"10-","0.40 S",5,0.4,2.5
"200BI",200,"BI",83,428.2,"10-","0.40 S",5,0.4,2.5
"200PO",200,"PO",84,0,"0+","11.51 M",8,690.6,0.00144801621778164
"200AT",200,"AT",85,0,"3+","43 S",1,43,0.0232558139534884
"200AT",200,"AT",85,112,"7+","47 S",1,47,0.0212765957446809
"200AT",200,"AT",85,344,"10-","7.3 S",NA,7.3,0.136986301369863
"200AT",200,"AT",85,113,"7+","47 S",1,47,0.0212765957446809
"200RN",200,"RN",86,0,"0+","1.03 S",NA,1.03,0.970873786407767
"200FR",200,"FR",87,0,"3+","49 MS",4,0.049,20.4081632653061
"201IR",201,"IR",77,0,"3/2+","21 S",5,21,0.0476190476190476
"201PT",201,"PT",78,0,"5/2-","2.46 M",9,147.6,0.00677506775067751
"201AU",201,"AU",79,0,"3/2+","26.0 M",8,1560,0.000641025641025641
"201TL",201,"TL",81,0,"1/2+","3.0420 D",16,262828.8,3.80475807826235e-06
"201TL",201,"TL",81,919.47,"9/2-","2.11 MS",11,0.00211,473.9336492891
"201TL",201,"TL",81,919.4,"9/2-","2.11 MS",11,0.00211,473.9336492891
"201TL",201,"TL",81,919.5,"9/2-","2.11 MS",11,0.00211,473.9336492891
"201TL",201,"TL",81,919.45,"9/2-","2.11 MS",11,0.00211,473.9336492891
"201PB",201,"PB",82,0,"5/2-","9.33 H",5,33588,2.9772537811123e-05
"201PB",201,"PB",82,629.1,"13/2+","60.8 S",18,60.8,0.0164473684210526
"201PB",201,"PB",82,628.8,"13/2+","60.8 S",18,60.8,0.0164473684210526
"201BI",201,"BI",83,0,"9/2-","103 M",3,6180,0.000161812297734628
"201BI",201,"BI",83,846.35,"1/2+","58.5 M",11,3510,0.000284900284900285
